Electric Emergency and Disturbance Report - 2015-2020;;;;;;
Month;Date Event Began;Time Event Began;Area Affected;Alert Criteria;Event Type;Number of Customers Affected
January;07/01/15;5:00 PM;Tennessee;Public appeal to reduce the use of electricity;Severe Weather - Winter;Unknown
January;07/01/15;5:00 PM;Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri;Public appeal to reduce the use of electricity;Severe Weather - Winter;Unknown
January;22/01/15;4:24 AM;Portland, Oregon;Suspected Physical Attack;Vandalism;Unknown
January;26/01/15;2:39 PM;Cave Junction, Oregon;Suspected Physical Attack;Vandalism;Unknown
January;27/01/15;10:30 AM;Kountze, Texas;Suspected Physical Attack;Sabotage;0
February;01/02/15;11:24 AM;Weber County, Utah;Suspected Physical Attack;Vandalism;Unknown
February;02/02/15;9:40 AM;Conroe, Texas;Suspected Physical Attack;Sabotage;Unknown
February;04/02/15;11:55 AM;Vollmers, California;Suspected Physical Attack;Vandalism;Unknown
February;05/02/15;8:15 AM;Cameron, Arizona;Suspected Physical Attack;Vandalism;Unknown
February;05/02/15;11:20 AM;Dunismuir, California;Suspected Physical Attack;Vandalism;Unknown
February;06/02/15;8:58 PM;Northern California;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Wind;65.000
February;09/02/15;11:30 AM;Colorado Springs, Colorado;Suspected Physical Attack;Sabotage;Unknown
February;16/02/15;9:41 PM;Northern/North Eastern, Georgia;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Winter;186.035
February;16/02/15;9:00 PM;Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Winter;67.189
February;17/02/15;9:00 AM;North Carolina, South Carolina;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Winter;52.000
February;17/02/15;2:12 AM;North Carolina, South Carolina;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Winter;68.000
February;17/02/15;6:20 AM;Prescott Valley, Arizona;Suspected Physical Attack;Vandalism;Unknown
February;18/02/15;3:00 PM;Tennessee, Kentucky, Virginia, North Carolina, Georgia, Alabama, Missouri;Public appeal to reduce the use of electricity;Severe Weather - Winter;Unknown
February;19/02/15;2:30 PM;Winslow, Arizona;Suspected Physical Attack;Vandalism;Unknown
February;20/02/15;6:00 AM;North Carolina, South Carolina;System-wide voltage reductions of 3 percent or more;Severe Weather - Winter;Unknown
February;21/02/15;8:34 AM;Fentress County, Tennessee;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Winter;50.000
February;26/02/15;3:12 AM;North Carolina, South Carolina;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Winter;124.000
February;26/02/15;3:30 AM;North Carolina ;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Winter;103.776
March;04/03/15;9:05 AM;Johnson City , Tennessee;Suspected Physical Attack;Vandalism;Unknown
March;09/03/15;11:50 PM;Washington;Suspected Physical Attack;Vandalism;Unknown
March;15/03/15;3:30 PM;Greater Portland & Salem , Oregon;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Wind;71.000
March;16/03/15;7:31 AM;Winona , Minnesota;Suspected Physical Attack;Sabotage;5.941
March;19/03/15;6:30 PM;Southwest Kansas;Suspected Physical Attack;Vandalism;Unknown
March;22/03/15;4:25 PM;West Virginia;Suspected Physical Attack;Vandalism;0
March;26/03/15;3:21 PM;Contra Costa County, California;Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational;System Operations;Unknown
March;29/03/15;4:26 AM;California;Suspected Physical Attack;Vandalism;Unknown
April;01/04/15;6:25 PM;San Juan County, Utah;Suspected Physical Attack;Vandalism;37
April;02/04/15;7:04 AM;San Juan County, Utah;Suspected Physical Attack;Vandalism;5.763
April;03/04/15;2:00 AM;Harvey, Reno, and Sedgwick Counties, Kansas;Loss of electric service to more than 50,000 customers for 1 hour or more;Severe Weather - Thunderstorms;70.000
April;06/04/15;8:12 AM;Butte County, California;Loss of electric service to more than 50,000 customers for 1 hour or more;System Operations;80.000
